2.0,1,38.5,66.0,28.0,3.0,3.0,,2.0,5.0,4.0,4.0,,,,3.0,5.0,45.0,8.4,,,2.0,2,0,0,0,2
1.0,1,39.2,88.0,20.0,,,4.0,1.0,3.0,4.0,2.0,,,,4.0,2.0,50.0,85.0,2.0,2.0,3.0,2,1,0,0,2
2.0,1,38.3,40.0,24.0,1.0,1.0,3.0,1.0,3.0,3.0,1.0,,,,1.0,1.0,33.0,6.7,,,1.0,2,2,0,0,1
1.0,9,39.1,164.0,84.0,4.0,1.0,6.0,2.0,2.0,4.0,4.0,1.0,2.0,5.0,3.0,,48.0,7.2,3.0,5.3,2.0,1,1,0,0,1
2.0,1,37.3,104.0,35.0,,,6.0,2.0,,,,,,,,,74.0,7.4,,,2.0,2,3,0,0,2
2.0,1,,,,2.0,1.0,3.0,1.0,2.0,3.0,2.0,2.0,1.0,,3.0,3.0,,,,,1.0,2,2,0,0,2
1.0,1,37.9,48.0,16.0,1.0,1.0,1.0,1.0,3.0,3.0,3.0,1.0,1.0,,3.0,5.0,37.0,7.0,,,1.0,1,4,0,0,2
1.0,1,,60.0,,3.0,,,1.0,,4.0,2.0,2.0,1.0,,3.0,4.0,44.0,8.3,,,2.0,1,1,0,0,2
2.0,1,,80.0,36.0,3.0,4.0,3.0,1.0,4.0,4.0,4.0,2.0,1.0,,3.0,5.0,38.0,6.2,,,3.0,1,5,0,0,2
2.0,9,38.3,90.0,,1.0,,1.0,1.0,5.0,3.0,1.0,2.0,1.0,,3.0,,40.0,6.2,1.0,2.2,1.0,2,2,0,0,1
1.0,1,38.1,66.0,12.0,3.0,3.0,5.0,1.0,3.0,3.0,1.0,2.0,1.0,3.0,2.0,5.0,44.0,6.0,2.0,3.6,1.0,1,6,0,0,1
2.0,1,39.1,72.0,52.0,2.0,,2.0,1.0,2.0,1.0,2.0,1.0,1.0,,4.0,4.0,50.0,7.8,,,1.0,1,7,0,0,2
1.0,1,37.2,42.0,12.0,2.0,1.0,1.0,1.0,3.0,3.0,3.0,3.0,1.0,,4.0,5.0,,7.0,,,1.0,2,8,0,0,2
2.0,9,38.0,92.0,28.0,1.0,1.0,2.0,1.0,1.0,3.0,2.0,3.0,,7.2,1.0,1.0,37.0,6.1,1.0,,2.0,2,2,0,0,1
